destination_group,public_group_code,public_relative_path,source_label,source_basename,annotation,claim_boundary,source_pdf,final_pdf_path,github_sha256,replacement_note
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/011_main_10D_V18_main_single_panel_Figure_06_F2B_Ideal-like_versus_lower-prio.pdf,10D_V18_main_single_panel,Figure_06_F2B_Ideal-like_versus_lower-priority_DEG_volcano_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_06_F2B_Ideal-like_versus_lower-priority_DEG_volcano_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/011__10D_V18_main_single_panel__Figure_06_F2B_Ideal-like_versus_lower-priority_DEG_volcano_10D_V18_single_panel.pdf,d701ec3d7b0c6e2e734e845dcc950f083f21b9c1ee63c376fb67c20cfe0bf2ad,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/012_main_10D_V18_main_single_panel_Figure_07_F2C_Gene_Ontology_enrichment_10D.pdf,10D_V18_main_single_panel,Figure_07_F2C_Gene_Ontology_enrichment_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_07_F2C_Gene_Ontology_enrichment_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/012__10D_V18_main_single_panel__Figure_07_F2C_Gene_Ontology_enrichment_10D_V18_single_panel.pdf,d4a27a0e2fb017ccba0aa61745ab7603c8589807bff7b708cb887e1bd9e1f9cb,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/013_main_10D_V18_main_single_panel_Figure_08_F2D_KEGG_enrichment_10D_V18_sing.pdf,10D_V18_main_single_panel,Figure_08_F2D_KEGG_enrichment_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_08_F2D_KEGG_enrichment_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/013__10D_V18_main_single_panel__Figure_08_F2D_KEGG_enrichment_10D_V18_single_panel.pdf,7182f7a763c81c923cd82f4d9fa8247519104e2a257113498223dbce17a75e33,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/014_main_10D_V18_main_single_panel_Figure_09_F2E_Hallmark_GSEA_10D_V18_single.pdf,10D_V18_main_single_panel,Figure_09_F2E_Hallmark_GSEA_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_09_F2E_Hallmark_GSEA_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/014__10D_V18_main_single_panel__Figure_09_F2E_Hallmark_GSEA_10D_V18_single_panel.pdf,0758a1f6814fed93a5857cc04115a7f102b3bf579409daefcdd72a0005aa0c02,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/015_main_10D_V18_main_single_panel_Figure_10_F3A_Feature_leakage_and_circular.pdf,10D_V18_main_single_panel,Figure_10_F3A_Feature_leakage_and_circularity_audit_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_10_F3A_Feature_leakage_and_circularity_audit_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/015__10D_V18_main_single_panel__Figure_10_F3A_Feature_leakage_and_circularity_audit_10D_V18_single_panel.pdf,b6b3ca2dfbb13467b409643d65d278a9488031a100261ace3e2328ff87da88fc,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/016_main_10D_V18_main_single_panel_Figure_11_F3B_Internal_cross-validation_pe.pdf,10D_V18_main_single_panel,Figure_11_F3B_Internal_cross-validation_performance_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_11_F3B_Internal_cross-validation_performance_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/016__10D_V18_main_single_panel__Figure_11_F3B_Internal_cross-validation_performance_10D_V18_single_panel.pdf,996097da1b602b4dbfccd6ab0a45c2748defe66aa8f7de9ddb3489791ecd3242,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/017_main_10D_V18_main_single_panel_Figure_12_F3C_Leave-one-dataset-out_perfor.pdf,10D_V18_main_single_panel,Figure_12_F3C_Leave-one-dataset-out_performance_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_12_F3C_Leave-one-dataset-out_performance_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/017__10D_V18_main_single_panel__Figure_12_F3C_Leave-one-dataset-out_performance_10D_V18_single_panel.pdf,d7b7ab16e3d816dcf14df5057489974b811fd684f6dec1d68fc4df164df6e703,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/018_main_10D_V18_main_single_panel_Figure_13_F3D_Normalized_feature_importanc.pdf,10D_V18_main_single_panel,Figure_13_F3D_Normalized_feature_importance_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_13_F3D_Normalized_feature_importance_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/018__10D_V18_main_single_panel__Figure_13_F3D_Normalized_feature_importance_10D_V18_single_panel.pdf,0496b4b3ba7074b304fd5f4d37bb235a073ecbf8d10fcd9a29b7effc550d670a,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/019_main_10D_V18_main_single_panel_Figure_14_F3E_Threshold-sensitivity_stabil.pdf,10D_V18_main_single_panel,Figure_14_F3E_Threshold-sensitivity_stability_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_14_F3E_Threshold-sensitivity_stability_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/019__10D_V18_main_single_panel__Figure_14_F3E_Threshold-sensitivity_stability_10D_V18_single_panel.pdf,653c922017fd58efecad890e296cb2c80a00ee36b090266f7b954e642df7fb2e,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/020_main_10D_V18_main_single_panel_Figure_15_F4A_Negative-control_model_perfo.pdf,10D_V18_main_single_panel,Figure_15_F4A_Negative-control_model_performance_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_15_F4A_Negative-control_model_performance_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/020__10D_V18_main_single_panel__Figure_15_F4A_Negative-control_model_performance_10D_V18_single_panel.pdf,f53786211d819e3d46c5f18b98191d2fdda6466a435c6f1ea9d0230da161bb45,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/021_main_10D_V18_main_single_panel_Figure_16_F4B_Negative-control_empirical_s.pdf,10D_V18_main_single_panel,Figure_16_F4B_Negative-control_empirical_significance_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_16_F4B_Negative-control_empirical_significance_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/021__10D_V18_main_single_panel__Figure_16_F4B_Negative-control_empirical_significance_10D_V18_single_panel.pdf,f0041112cafe6ce817cf38d67787b815c707d438e9fbc81c055d34afbf00b677,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/022_main_10D_V18_main_single_panel_Figure_17_F4C_GSE183248_external_priority_.pdf,10D_V18_main_single_panel,Figure_17_F4C_GSE183248_external_priority_index_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_17_F4C_GSE183248_external_priority_index_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/022__10D_V18_main_single_panel__Figure_17_F4C_GSE183248_external_priority_index_10D_V18_single_panel.pdf,7a978a3be0909e598e5a4645d4d51f6b7cc3cd82c9851af4b4087b7fbf8da1dd,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/023_main_10D_V18_main_single_panel_Figure_18_F4D_GSE183248_frozen-signature_h.pdf,10D_V18_main_single_panel,Figure_18_F4D_GSE183248_frozen-signature_heatmap_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_18_F4D_GSE183248_frozen-signature_heatmap_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/023__10D_V18_main_single_panel__Figure_18_F4D_GSE183248_frozen-signature_heatmap_10D_V18_single_panel.pdf,73b149ffbf86e179e1acc1489b5ba9a13f42b2236e49f151dd203331a689ae7d,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/024_main_10D_V18_main_single_panel_Figure_19_F4E_GSE183248_random-forest_prio.pdf,10D_V18_main_single_panel,Figure_19_F4E_GSE183248_random-forest_priority_scatter_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_19_F4E_GSE183248_random-forest_priority_scatter_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/024__10D_V18_main_single_panel__Figure_19_F4E_GSE183248_random-forest_priority_scatter_10D_V18_single_panel.pdf,a21e7c265b63549a01950759ec23a028335b8242410e8df589eb888830e539b5,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/025_main_10D_V18_main_single_panel_Figure_20_F5A_GSE243639_marker-targeted_im.pdf,10D_V18_main_single_panel,Figure_20_F5A_GSE243639_marker-targeted_import_summary_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_20_F5A_GSE243639_marker-targeted_import_summary_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/025__10D_V18_main_single_panel__Figure_20_F5A_GSE243639_marker-targeted_import_summary_10D_V18_single_panel.pdf,dee1065baf564dc8161816ba70e7d5fcc0429467f7e0f6d35ffc87f2d1c9eb43,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/026_main_10D_V18_main_single_panel_Figure_21_F5B_GSE243639_disease-context_cl.pdf,10D_V18_main_single_panel,Figure_21_F5B_GSE243639_disease-context_cluster_sizes_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_21_F5B_GSE243639_disease-context_cluster_sizes_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/026__10D_V18_main_single_panel__Figure_21_F5B_GSE243639_disease-context_cluster_sizes_10D_V18_single_panel.pdf,f7474beb97ab8f25c641a7d8f6e326f425067decaa907804ad2807dc882a5b95,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/027_main_10D_V18_main_single_panel_Figure_22_F5C_GSE243639_context_signature_.pdf,10D_V18_main_single_panel,Figure_22_F5C_GSE243639_context_signature_heatmap_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_22_F5C_GSE243639_context_signature_heatmap_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/027__10D_V18_main_single_panel__Figure_22_F5C_GSE243639_context_signature_heatmap_10D_V18_single_panel.pdf,780bc91620af068db5b2e6a3251f6acc92e73f4810294fa2cbe855046a2ac01c,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/028_main_10D_V18_main_single_panel_Figure_23_F5D_GSE243639_frozen_predictor_p.pdf,10D_V18_main_single_panel,Figure_23_F5D_GSE243639_frozen_predictor_probabilities_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_23_F5D_GSE243639_frozen_predictor_probabilities_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/028__10D_V18_main_single_panel__Figure_23_F5D_GSE243639_frozen_predictor_probabilities_10D_V18_single_panel.pdf,e54e0f04e9948b68e8524ff39c9078792a0639c1cf786e2664d7cacb3c1ea159,""
